# n gamma re_zetaprime im_zetaprime
101 237.769820481 2.925475547926e+00 -2.744291161614e-01
102 239.555477573 2.845276753745e+00 -5.747234731718e-01
103 241.049157796 2.848067638272e+00 6.392258947339e-01
104 242.823271934 3.001399683390e+00 3.738282351060e-01
105 244.070898497 2.326582510995e+00 3.500588249759e+00
106 247.136990075 2.137679311792e-01 -2.781516390037e+00
107 248.101990060 1.848494756508e+00 -2.326739023241e-01
108 249.573689645 2.204428503483e+00 7.043041784594e-01
109 251.014947795 2.422484878272e+00 2.471897151832e+00
110 253.069986748 5.431540612431e+00 7.863452733805e-01
111 255.306256455 2.176479673120e+00 -2.487312936214e+00
112 256.380713694 2.864086075865e+00 8.806529206520e-01
113 258.610439492 2.035940443751e+00 -1.713884561752e+00
114 259.874406990 1.743013790315e+00 1.589884928021e-01
115 260.805084505 1.892243317806e-01 2.652664160039e+00
116 263.573893905 5.248950396700e+00 -3.035353032330e+00
117 265.557851839 1.162625345031e+00 -2.244774708043e+00
118 266.614973782 1.871450000379e+00 1.288123726917e-01
119 267.921915083 2.061238031763e+00 1.957359929972e+00
120 269.970449024 4.145598691913e+00 2.213941441559e-01
121 271.494055642 4.307576422425e+00 1.466261647176e+00
122 273.459609188 5.010410277543e+00 -1.199960385084e+00
123 275.587492649 9.792983267735e-01 -1.983323931639e+00
124 276.452049503 1.751075706032e+00 7.286273278047e-01
125 278.250743530 2.390509321623e+00 3.118259733228e-01
126 279.229250928 5.321357850337e-01 3.406956195303e+00
127 282.465114765 -5.178659977772e-02 -2.618066138625e+00
128 283.211185733 1.970677118796e+00 2.593920075375e-01
129 284.835963981 3.151019573005e+00 5.613733555430e-01
130 286.667445363 2.933920557454e+00 -5.269357336165e-01
131 287.911920501 2.641035147485e+00 1.750447172077e+00
132 289.579854929 4.526661226509e+00 2.681246925664e+00
133 291.846291329 4.006778857094e+00 -3.167400004764e+00
134 293.558434139 1.857470002219e+00 -1.973762648768e+00
135 294.965369619 1.156615727245e+00 -4.621054515470e-01
136 295.573254879 -3.194190689354e-02 1.557094321478e+00
137 297.979277062 5.839593465746e+00 5.574612190634e-01
138 299.840326054 4.720666987278e+00 -1.761601428989e+00
139 301.649325462 2.199797872607e+00 -1.908154353306e+00
140 302.696749590 2.624759396397e+00 1.105617292036e+00
141 304.864371341 1.786950303316e+00 -1.396097413728e+00
142 305.728912602 1.496745575455e+00 1.540159109530e+00
143 307.219496128 2.547304463504e+00 4.381130854482e+00
144 310.109463147 4.616653179065e-01 -3.552545591792e+00
145 311.165141530 2.001883954782e+00 -7.510981618335e-01
146 312.427801181 2.314549504870e+00 7.609610952665e-01
147 313.985285731 3.020839847468e+00 1.331459662366e+00
148 315.475616089 3.837721460302e+00 2.859014034177e+00
149 317.734805942 3.385183730870e+00 -2.551534681193e+00
150 318.853104256 3.808605105692e+00 1.182271973855e+00
151 321.160134309 1.223151894225e+00 -2.352142736308e+00
152 322.144558672 1.930063636164e+00 2.193844838575e-01
153 323.466969558 2.128809064180e+00 1.618906058471e+00
154 324.862866052 2.503071722237e+00 4.259321986660e+00
155 327.443901262 3.314602531875e+00 -4.315203746919e+00
156 329.033071680 1.390293944377e+00 -1.816287393769e+00
157 329.953239728 1.924719393129e+00 8.190580615534e-01
158 331.474467583 3.178611241531e+00 1.859533946703e+00
159 333.645378525 1.699887123241e+00 -1.258225959243e+00
160 334.211354833 4.387983263915e-01 2.272814018253e+00
161 336.841850428 4.156114246789e+00 -3.573376769585e+00
162 338.339992851 2.954809150465e+00 -1.823108357082e+00
163 339.858216725 2.108487932145e+00 -9.897613709978e-01
164 341.042261111 1.866741839634e+00 6.584977644690e-01
165 342.054877510 3.754755358226e-01 3.305980087738e+00
166 344.661702940 5.061134105382e+00 -3.579053288672e+00
167 346.347870566 1.883299075604e+00 -2.153662104281e+00
168 347.272677584 2.521188536981e+00 1.170545415990e+00
169 349.316260871 2.552084499694e+00 -1.483013947364e+00
170 350.408419349 2.432187632670e+00 1.086535942102e+00
171 351.878649025 3.302416343962e+00 2.279362465081e+00
172 353.488900489 5.600392792245e+00 3.080765252654e+00
173 356.017574977 3.945979819244e-01 -3.399773980954e+00
